Shipment_ID,Order_ID,Transport_Mode,Shipping_Cost,Ship_Date,Delivery_Date,Delivery_Status
SHP000071,O000071,Road,50,2024-03-24,2024-03-31,On-Time
SHP000072,O000072,Express Courier,65,2023-04-25,2023-04-28,On-Time
SHP000073,O000073,Standard Shipping,23,2024-09-15,2024-09-27,On-Time
SHP000074,O000074,Express Courier,50,2025-04-24,2025-04-26,On-Time
SHP000075,O000075,Road,60,2025-05-05,2025-05-09,On-Time
SHP000076,O000076,Rail,30,2025-03-09,2025-03-19,On-Time
SHP000077,O000077,Road,29,2025-03-20,2025-03-26,On-Time
SHP000078,O000078,Standard Shipping,20,2023-04-18,2023-05-02,Delayed
SHP000079,O000079,Express Courier,80,2025-07-01,2025-07-05,On-Time
SHP000080,O000080,Road,49,2024-06-20,2024-06-24,On-Time
SHP000081,O000081,Standard Shipping,22,2025-01-10,2025-01-23,Delayed
SHP000082,O000082,Air,129,2023-01-03,2023-01-04,On-Time
SHP000083,O000083,Standard Shipping,20,2023-12-13,2023-12-23,On-Time
SHP000084,O000084,Standard Shipping,12,2023-03-20,2023-03-29,On-Time
SHP000085,O000085,Standard Shipping,29,2024-10-02,2024-10-16,On-Time
SHP000086,O000086,Road,35,2024-07-20,2024-07-23,On-Time
SHP000087,O000087,Express Courier,51,2023-08-01,2023-08-04,On-Time
SHP000088,O000088,Standard Shipping,29,2025-04-13,2025-04-24,On-Time
SHP000089,O000089,Rail,38,2025-06-27,2025-07-07,On-Time
SHP000090,O000090,Air,89,2023-09-19,2023-09-20,On-Time
SHP000091,O000091,Standard Shipping,19,2025-04-25,2025-05-07,On-Time
SHP000092,O000092,Air,132,2024-10-19,2024-10-21,On-Time
SHP000093,O000093,Road,36,2024-10-22,2024-10-28,On-Time
SHP000094,O000094,Express Courier,62,2023-05-26,2023-05-28,On-Time
SHP000095,O000095,Road,39,2025-02-17,2025-02-24,On-Time
SHP000096,O000096,Standard Shipping,17,2023-07-24,2023-08-03,On-Time
SHP000097,O000097,Rail,21,2024-05-20,2024-05-26,On-Time
SHP000098,O000098,Air,101,2023-01-06,2023-01-08,On-Time
SHP000099,O000099,Standard Shipping,33,2024-06-17,2024-06-28,On-Time
SHP000100,O000100,Express Courier,80,2025-04-21,2025-04-23,On-Time
SHP000101,O000101,Standard Shipping,28,2023-08-30,2023-09-13,On-Time
SHP000102,O000102,Standard Shipping,13,2025-08-03,2025-08-12,On-Time
SHP000103,O000103,Road,38,2023-12-23,2023-12-28,On-Time
SHP000104,O000104,Express Courier,76,2025-03-07,2025-03-11,On-Time
SHP000105,O000105,Rail,29,2023-08-24,2023-09-01,On-Time
SHP000106,O000106,Rail,44,2023-03-05,2023-03-13,On-Time
SHP000107,O000107,Standard Shipping,24,2024-07-26,2024-08-09,On-Time
SHP000108,O000108,Rail,39,2024-07-11,2024-07-19,On-Time
SHP000109,O000109,Air,145,2024-03-04,2024-03-06,On-Time
SHP000110,O000110,Road,60,2023-02-18,2023-02-21,On-Time
SHP000111,O000111,Rail,28,2023-02-26,2023-03-04,On-Time
SHP000112,O000112,Road,44,2023-05-22,2023-05-29,On-Time
SHP000113,O000113,Rail,44,2025-12-07,2025-12-13,On-Time
SHP000114,O000114,Standard Shipping,33,2023-05-07,2023-05-21,On-Time
SHP000115,O000115,Standard Shipping,10,2025-08-16,2025-08-23,On-Time
SHP000116,O000116,Express Courier,71,2025-12-31,2026-01-04,Delayed
SHP000117,O000117,Express Courier,63,2023-10-27,2023-10-31,Delayed
SHP000118,O000118,Rail,32,2024-09-07,2024-09-13,Delayed
SHP000119,O000119,Road,54,2023-11-24,2023-11-29,On-Time
SHP000120,O000120,Express Courier,68,2023-11-01,2023-11-05,On-Time
SHP000121,O000121,Air,83,2025-12-15,2025-12-18,On-Time
SHP000122,O000122,Rail,18,2025-05-11,2025-05-16,On-Time
SHP000123,O000123,Road,51,2025-02-22,2025-03-01,On-Time
SHP000124,O000124,Express Courier,86,2024-07-26,2024-07-29,On-Time
SHP000125,O000125,Rail,26,2023-03-28,2023-04-05,On-Time
SHP000126,O000126,Road,22,2024-05-31,2024-06-07,On-Time
SHP000127,O000127,Rail,17,2025-06-26,2025-07-05,Delayed
SHP000128,O000128,Road,29,2023-06-19,2023-06-26,On-Time
SHP000129,O000129,Road,47,2023-07-19,2023-07-26,On-Time
SHP000130,O000130,Road,25,2024-11-05,2024-11-09,On-Time
SHP000131,O000131,Air,124,2023-12-31,2024-01-02,On-Time
SHP000132,O000132,Express Courier,67,2025-07-28,2025-08-01,On-Time
SHP000133,O000133,Rail,37,2024-03-02,2024-03-11,On-Time
SHP000134,O000134,Express Courier,71,2023-01-13,2023-01-16,On-Time
SHP000135,O000135,Standard Shipping,16,2024-09-19,2024-10-03,On-Time
SHP000136,O000136,Air,97,2023-04-07,2023-04-08,On-Time
SHP000137,O000137,Express Courier,49,2024-03-09,2024-03-13,On-Time
SHP000138,O000138,Express Courier,57,2023-04-18,2023-04-21,Delayed
SHP000139,O000139,Road,34,2025-08-31,2025-09-03,On-Time
SHP000140,O000140,Express Courier,42,2023-07-26,2023-07-28,On-Time
SHP000141,O000141,Standard Shipping,13,2023-06-28,2023-07-11,On-Time
SHP000142,O000142,Road,39,2025-07-28,2025-08-03,On-Time
SHP000143,O000143,Air,133,2024-04-06,2024-04-08,On-Time
SHP000144,O000144,Road,32,2024-02-27,2024-03-04,On-Time
SHP000145,O000145,Road,60,2025-11-27,2025-12-01,On-Time
SHP000146,O000146,Road,41,2025-02-05,2025-02-11,On-Time
SHP000147,O000147,Express Courier,49,2025-09-11,2025-09-15,On-Time
SHP000148,O000148,Road,37,2025-09-16,2025-09-23,On-Time
SHP000149,O000149,Express Courier,68,2025-07-25,2025-07-28,Delayed
SHP000150,O000150,Express Courier,56,2023-01-20,2023-01-22,On-Time
SHP000151,O000151,Air,137,2023-11-10,2023-11-13,On-Time
SHP000152,O000152,Express Courier,57,2024-10-09,2024-10-12,On-Time
SHP000153,O000153,Road,57,2023-09-07,2023-09-10,On-Time
SHP000154,O000154,Standard Shipping,15,2024-01-19,2024-01-30,On-Time
SHP000155,O000155,Standard Shipping,28,2025-05-03,2025-05-17,Delayed
SHP000156,O000156,Rail,41,2023-09-06,2023-09-16,On-Time
SHP000157,O000157,Air,147,2023-07-11,2023-07-12,On-Time
SHP000158,O000158,Road,29,2023-01-07,2023-01-14,On-Time
SHP000159,O000159,Standard Shipping,26,2024-08-25,2024-09-08,On-Time
SHP000160,O000160,Standard Shipping,15,2025-02-19,2025-02-27,On-Time
SHP000161,O000161,Standard Shipping,24,2025-09-06,2025-09-20,On-Time
SHP000162,O000162,Road,20,2025-04-24,2025-04-30,On-Time
SHP000163,O000163,Air,88,2025-12-23,2025-12-26,On-Time
SHP000164,O000164,Standard Shipping,21,2024-03-27,2024-04-08,On-Time
SHP000165,O000165,Air,113,2023-11-27,2023-11-29,On-Time
SHP000166,O000166,Express Courier,54,2025-11-13,2025-11-17,On-Time
SHP000167,O000167,Express Courier,52,2025-01-27,2025-01-29,On-Time
SHP000168,O000168,Rail,39,2023-04-25,2023-05-03,Delayed
SHP000169,O000169,Air,130,2023-12-12,2023-12-15,On-Time
SHP000170,O000170,Express Courier,81,2024-06-05,2024-06-09,On-Time
SHP000171,O000171,Express Courier,44,2024-06-06,2024-06-08,Delayed
SHP000172,O000172,Road,52,2024-10-19,2024-10-23,On-Time
SHP000173,O000173,Road,22,2024-05-09,2024-05-14,On-Time
SHP000174,O000174,Express Courier,73,2023-10-19,2023-10-22,On-Time
SHP000175,O000175,Express Courier,48,2024-01-21,2024-01-25,On-Time
SHP000176,O000176,Air,129,2025-03-27,2025-03-30,On-Time
SHP000177,O000177,Express Courier,90,2023-06-07,2023-06-09,Delayed
SHP000178,O000178,Road,22,2024-03-01,2024-03-05,On-Time
SHP000179,O000179,Standard Shipping,22,2025-05-25,2025-06-06,On-Time
SHP000180,O000180,Air,93,2024-04-18,2024-04-20,Delayed
SHP000181,O000181,Road,60,2023-02-23,2023-02-26,On-Time
SHP000182,O000182,Standard Shipping,34,2023-01-25,2023-02-04,On-Time
SHP000183,O000183,Road,37,2024-11-23,2024-11-27,Delayed
SHP000184,O000184,Road,44,2025-10-16,2025-10-21,Delayed
SHP000185,O000185,Air,131,2024-07-28,2024-07-29,Delayed
SHP000186,O000186,Standard Shipping,26,2023-10-22,2023-11-02,On-Time
SHP000187,O000187,Standard Shipping,10,2023-12-03,2023-12-15,On-Time
SHP000188,O000188,Air,107,2025-03-09,2025-03-12,On-Time
SHP000189,O000189,Express Courier,68,2024-07-08,2024-07-12,On-Time
SHP000190,O000190,Standard Shipping,21,2023-07-15,2023-07-24,On-Time
SHP000191,O000191,Rail,39,2023-11-07,2023-11-15,On-Time
SHP000192,O000192,Standard Shipping,34,2025-01-01,2025-01-08,On-Time
SHP000193,O000193,Rail,42,2024-09-20,2024-09-26,On-Time
SHP000194,O000194,Express Courier,48,2025-11-04,2025-11-06,On-Time
SHP000195,O000195,Standard Shipping,34,2023-06-12,2023-06-20,On-Time
SHP000196,O000196,Road,24,2025-09-09,2025-09-16,Delayed
SHP000197,O000197,Rail,30,2023-09-06,2023-09-16,On-Time
SHP000198,O000198,Air,110,2023-11-14,2023-11-15,On-Time
SHP000199,O000199,Standard Shipping,29,2024-02-05,2024-02-16,On-Time
SHP000200,O000200,Air,119,2023-05-15,2023-05-17,On-Time
SHP000201,O000201,Rail,18,2023-12-25,2024-01-03,On-Time
SHP000202,O000202,Express Courier,62,2024-03-15,2024-03-18,On-Time
SHP000203,O000203,Air,142,2025-07-06,2025-07-08,On-Time
SHP000204,O000204,Air,100,2023-06-01,2023-06-03,On-Time
SHP000205,O000205,Standard Shipping,14,2023-02-23,2023-03-09,On-Time
SHP000206,O000206,Air,109,2023-11-11,2023-11-13,On-Time
SHP000207,O000207,Air,109,2025-06-05,2025-06-07,On-Time
SHP000208,O000208,Express Courier,90,2025-12-21,2025-12-25,On-Time
SHP000209,O000209,Express Courier,59,2025-11-18,2025-11-22,On-Time
SHP000210,O000210,Standard Shipping,30,2024-04-29,2024-05-08,On-Time
SHP000211,O000211,Rail,37,2024-09-07,2024-09-15,Delayed
SHP000212,O000212,Road,39,2023-05-03,2023-05-06,On-Time
SHP000213,O000213,Express Courier,55,2025-06-29,2025-07-03,On-Time
SHP000214,O000214,Road,50,2023-09-11,2023-09-14,On-Time
SHP000215,O000215,Road,52,2024-07-31,2024-08-04,On-Time
SHP000216,O000216,Air,89,2024-02-01,2024-02-02,On-Time
SHP000217,O000217,Rail,30,2025-07-02,2025-07-09,On-Time
SHP000218,O000218,Rail,18,2024-06-21,2024-06-27,On-Time
SHP000219,O000219,Air,97,2023-01-07,2023-01-10,On-Time
SHP000220,O000220,Air,108,2023-04-16,2023-04-18,On-Time
SHP000221,O000221,Rail,39,2024-09-11,2024-09-17,On-Time
SHP000222,O000222,Rail,27,2025-10-04,2025-10-10,Delayed
SHP000223,O000223,Air,89,2023-03-02,2023-03-04,On-Time
SHP000224,O000224,Express Courier,60,2025-06-03,2025-06-05,On-Time
SHP000225,O000225,Express Courier,52,2025-11-26,2025-11-30,On-Time
SHP000226,O000226,Air,97,2025-05-03,2025-05-04,On-Time
SHP000227,O000227,Express Courier,50,2024-01-17,2024-01-21,On-Time
SHP000228,O000228,Road,42,2023-08-18,2023-08-22,On-Time
SHP000229,O000229,Express Courier,53,2024-03-03,2024-03-07,On-Time
SHP000230,O000230,Express Courier,63,2023-11-27,2023-11-30,On-Time
SHP000231,O000231,Rail,19,2024-07-29,2024-08-06,Delayed
SHP000232,O000232,Rail,36,2023-11-13,2023-11-21,Delayed
SHP000233,O000233,Air,114,2025-05-13,2025-05-15,Delayed
SHP000234,O000234,Air,129,2025-01-30,2025-02-01,On-Time
SHP000235,O000235,Standard Shipping,22,2024-09-24,2024-10-04,On-Time
SHP000236,O000236,Express Courier,59,2025-04-16,2025-04-19,On-Time
SHP000237,O000237,Standard Shipping,22,2025-06-19,2025-06-27,On-Time
SHP000238,O000238,Rail,30,2023-04-10,2023-04-15,On-Time
SHP000239,O000239,Standard Shipping,14,2025-10-18,2025-10-31,On-Time
SHP000240,O000240,Rail,45,2025-02-19,2025-02-28,On-Time
SHP000241,O000241,Air,115,2024-07-17,2024-07-18,On-Time
SHP000242,O000242,Air,80,2025-03-25,2025-03-26,On-Time
SHP000243,O000243,Express Courier,46,2024-06-14,2024-06-18,On-Time
SHP000244,O000244,Standard Shipping,16,2024-12-20,2024-12-28,On-Time
SHP000245,O000245,Express Courier,77,2025-12-14,2025-12-18,On-Time
SHP000246,O000246,Rail,35,2024-04-07,2024-04-12,On-Time
SHP000247,O000247,Air,110,2024-09-29,2024-10-01,On-Time
SHP000248,O000248,Air,125,2025-10-12,2025-10-14,On-Time
SHP000249,O000249,Rail,17,2023-01-20,2023-01-28,On-Time
SHP000250,O000250,Express Courier,77,2025-08-19,2025-08-23,On-Time
SHP000251,O000251,Road,41,2023-09-08,2023-09-11,On-Time
SHP000252,O000252,Air,137,2024-01-08,2024-01-11,On-Time
SHP000253,O000253,Standard Shipping,20,2024-05-18,2024-06-01,On-Time
SHP000254,O000254,Express Courier,82,2024-12-06,2024-12-08,Delayed
SHP000255,O000255,Express Courier,56,2023-07-13,2023-07-17,On-Time
SHP000256,O000256,Standard Shipping,21,2025-12-11,2025-12-25,On-Time
SHP000257,O000257,Air,96,2025-06-27,2025-06-29,On-Time
SHP000258,O000258,Rail,27,2024-07-09,2024-07-14,On-Time
SHP000259,O000259,Rail,25,2023-01-15,2023-01-22,On-Time
SHP000260,O000260,Rail,37,2024-01-03,2024-01-10,On-Time
SHP000261,O000261,Standard Shipping,31,2025-01-01,2025-01-10,Delayed
SHP000262,O000262,Standard Shipping,11,2024-06-16,2024-06-29,On-Time
SHP000263,O000263,Air,132,2025-03-11,2025-03-14,On-Time
SHP000264,O000264,Express Courier,78,2023-07-13,2023-07-16,On-Time
SHP000265,O000265,Express Courier,50,2025-06-27,2025-06-30,On-Time
SHP000266,O000266,Rail,29,2025-11-16,2025-11-21,On-Time
SHP000267,O000267,Road,51,2025-05-27,2025-05-30,Delayed
SHP000268,O000268,Rail,38,2025-03-22,2025-03-27,On-Time
SHP000269,O000269,Rail,36,2023-01-07,2023-01-12,On-Time
SHP000270,O000270,Road,54,2025-12-13,2025-12-18,On-Time
SHP000271,O000271,Express Courier,44,2024-04-28,2024-04-30,Delayed
SHP000272,O000272,Standard Shipping,33,2024-12-19,2024-12-27,On-Time
SHP000273,O000273,Standard Shipping,34,2025-08-09,2025-08-17,On-Time
SHP000274,O000274,Rail,28,2025-07-28,2025-08-05,On-Time
SHP000275,O000275,Air,118,2024-06-08,2024-06-10,On-Time
SHP000276,O000276,Rail,24,2023-11-22,2023-11-27,Delayed
SHP000277,O000277,Express Courier,60,2024-05-28,2024-05-31,On-Time
SHP000278,O000278,Standard Shipping,16,2025-03-18,2025-04-01,On-Time
SHP000279,O000279,Express Courier,50,2024-10-14,2024-10-17,On-Time
SHP000280,O000280,Rail,16,2023-08-18,2023-08-25,On-Time
SHP000281,O000281,Rail,35,2025-09-09,2025-09-14,On-Time
SHP000282,O000282,Road,50,2024-05-04,2024-05-08,On-Time
SHP000283,O000283,Express Courier,86,2025-08-27,2025-08-30,Delayed
SHP000284,O000284,Rail,19,2025-03-06,2025-03-12,On-Time
SHP000285,O000285,Road,27,2025-10-24,2025-10-27,On-Time
SHP000286,O000286,Express Courier,89,2025-11-07,2025-11-09,Delayed
SHP000287,O000287,Standard Shipping,29,2024-02-04,2024-02-16,On-Time
SHP000288,O000288,Express Courier,50,2025-12-27,2025-12-29,On-Time
SHP000289,O000289,Express Courier,57,2025-07-05,2025-07-07,Delayed
SHP000290,O000290,Express Courier,70,2023-07-04,2023-07-06,On-Time
SHP000291,O000291,Express Courier,63,2025-05-08,2025-05-11,On-Time
SHP000292,O000292,Air,121,2025-05-09,2025-05-11,On-Time
SHP000293,O000293,Rail,34,2024-05-25,2024-05-31,On-Time
SHP000294,O000294,Rail,24,2024-09-23,2024-10-02,On-Time
SHP000295,O000295,Road,52,2023-06-18,2023-06-22,On-Time
SHP000296,O000296,Rail,45,2024-04-01,2024-04-07,On-Time
SHP000297,O000297,Rail,37,2024-02-12,2024-02-22,On-Time
SHP000298,O000298,Road,36,2024-06-21,2024-06-24,On-Time
SHP000299,O000299,Express Courier,57,2024-11-25,2024-11-28,On-Time
SHP000300,O000300,Express Courier,55,2023-01-27,2023-01-29,On-Time
SHP000301,O000301,Road,35,2023-05-11,2023-05-15,On-Time
SHP000302,O000302,Road,31,2025-07-05,2025-07-12,On-Time
SHP000303,O000303,Rail,32,2023-11-19,2023-11-28,On-Time
SHP000304,O000304,Express Courier,49,2023-05-15,2023-05-19,On-Time
SHP000305,O000305,Air,87,2023-03-08,2023-03-09,On-Time
SHP000306,O000306,Standard Shipping,35,2023-12-31,2024-01-07,On-Time
SHP000307,O000307,Road,43,2025-05-30,2025-06-03,On-Time
SHP000308,O000308,Standard Shipping,13,2024-03-10,2024-03-17,On-Time
SHP000309,O000309,Air,148,2023-01-08,2023-01-09,On-Time
SHP000310,O000310,Air,148,2025-09-16,2025-09-18,On-Time
SHP000311,O000311,Road,54,2023-04-05,2023-04-11,On-Time
SHP000312,O000312,Standard Shipping,20,2025-08-08,2025-08-20,On-Time
SHP000313,O000313,Express Courier,46,2025-12-28,2025-12-30,On-Time
SHP000314,O000314,Standard Shipping,27,2023-11-10,2023-11-24,On-Time
SHP000315,O000315,Express Courier,64,2025-07-06,2025-07-08,On-Time
SHP000316,O000316,Road,34,2023-02-22,2023-02-27,On-Time
SHP000317,O000317,Standard Shipping,18,2023-08-24,2023-09-03,On-Time
SHP000318,O000318,Air,81,2024-11-22,2024-11-23,On-Time
SHP000319,O000319,Air,125,2023-10-20,2023-10-21,On-Time
SHP000320,O000320,Rail,30,2025-06-08,2025-06-14,On-Time
SHP000321,O000321,Rail,39,2023-03-31,2023-04-07,On-Time
SHP000322,O000322,Standard Shipping,20,2023-07-23,2023-08-01,On-Time
SHP000323,O000323,Road,34,2024-07-28,2024-08-01,Delayed
SHP000324,O000324,Standard Shipping,17,2025-11-08,2025-11-20,Delayed
SHP000325,O000325,Rail,38,2024-03-04,2024-03-14,On-Time
SHP000326,O000326,Road,24,2024-12-03,2024-12-07,Delayed
SHP000327,O000327,Express Courier,67,2023-01-20,2023-01-22,On-Time
SHP000328,O000328,Rail,38,2023-03-21,2023-03-31,On-Time
SHP000329,O000329,Express Courier,54,2024-04-02,2024-04-05,On-Time
SHP000330,O000330,Rail,17,2025-02-06,2025-02-16,On-Time
SHP000331,O000331,Standard Shipping,19,2024-01-08,2024-01-22,On-Time
SHP000332,O000332,Road,33,2023-09-22,2023-09-28,On-Time
SHP000333,O000333,Air,122,2024-11-22,2024-11-24,On-Time
SHP000334,O000334,Rail,29,2025-01-19,2025-01-26,Delayed
SHP000335,O000335,Air,135,2023-07-20,2023-07-21,On-Time
SHP000336,O000336,Road,34,2025-11-04,2025-11-10,On-Time
SHP000337,O000337,Air,124,2023-07-05,2023-07-06,On-Time
SHP000338,O000338,Air,93,2025-05-29,2025-06-01,On-Time
SHP000339,O000339,Air,117,2025-05-30,2025-06-02,On-Time
SHP000340,O000340,Air,144,2024-03-23,2024-03-25,Delayed
SHP000341,O000341,Road,37,2023-03-24,2023-03-29,On-Time
SHP000342,O000342,Standard Shipping,10,2023-08-31,2023-09-07,Delayed
SHP000343,O000343,Express Courier,74,2023-05-03,2023-05-06,On-Time
SHP000344,O000344,Standard Shipping,12,2025-08-30,2025-09-10,On-Time
SHP000345,O000345,Standard Shipping,27,2023-04-26,2023-05-06,On-Time
SHP000346,O000346,Rail,41,2025-05-30,2025-06-05,On-Time
SHP000347,O000347,Air,103,2025-11-07,2025-11-10,On-Time
SHP000348,O000348,Standard Shipping,33,2023-03-08,2023-03-15,On-Time
SHP000349,O000349,Express Courier,50,2023-06-18,2023-06-20,Delayed
SHP000350,O000350,Standard Shipping,34,2024-02-18,2024-03-02,On-Time
SHP000351,O000351,Rail,28,2025-12-02,2025-12-07,On-Time
SHP000352,O000352,Express Courier,72,2023-12-09,2023-12-13,On-Time
SHP000353,O000353,Express Courier,90,2023-05-17,2023-05-21,On-Time
SHP000354,O000354,Rail,25,2024-12-14,2024-12-24,On-Time
SHP000355,O000355,Rail,37,2024-03-19,2024-03-25,On-Time
SHP000356,O000356,Express Courier,52,2024-06-13,2024-06-15,On-Time
SHP000357,O000357,Air,115,2025-01-09,2025-01-10,On-Time
SHP000358,O000358,Road,31,2025-12-06,2025-12-10,On-Time
SHP000359,O000359,Express Courier,54,2023-10-14,2023-10-18,On-Time
SHP000360,O000360,Road,29,2025-05-16,2025-05-23,On-Time
SHP000361,O000361,Express Courier,57,2024-04-30,2024-05-03,On-Time
SHP000362,O000362,Road,29,2024-07-13,2024-07-16,On-Time
SHP000363,O000363,Standard Shipping,34,2024-04-24,2024-05-05,Delayed
SHP000364,O000364,Rail,30,2024-03-02,2024-03-09,On-Time
SHP000365,O000365,Rail,20,2025-10-09,2025-10-15,Delayed
SHP000366,O000366,Air,124,2025-02-18,2025-02-21,On-Time
SHP000367,O000367,Express Courier,83,2023-03-17,2023-03-19,On-Time
SHP000368,O000368,Standard Shipping,26,2024-08-02,2024-08-16,On-Time
SHP000369,O000369,Air,107,2025-08-24,2025-08-27,On-Time
SHP000370,O000370,Express Courier,85,2023-09-12,2023-09-16,On-Time
SHP000371,O000371,Rail,31,2023-01-20,2023-01-28,On-Time
SHP000372,O000372,Standard Shipping,26,2025-08-19,2025-08-26,On-Time
SHP000373,O000373,Standard Shipping,21,2023-01-29,2023-02-08,On-Time
SHP000374,O000374,Standard Shipping,20,2023-11-12,2023-11-25,On-Time
SHP000375,O000375,Standard Shipping,20,2024-01-27,2024-02-07,On-Time
SHP000376,O000376,Rail,26,2024-03-03,2024-03-08,On-Time
SHP000377,O000377,Air,106,2024-11-06,2024-11-08,On-Time
SHP000378,O000378,Rail,31,2023-11-11,2023-11-20,On-Time
SHP000379,O000379,Road,49,2024-07-12,2024-07-18,On-Time
SHP000380,O000380,Road,27,2025-11-15,2025-11-22,On-Time
SHP000381,O000381,Road,50,2023-08-12,2023-08-17,Delayed
SHP000382,O000382,Air,103,2025-12-31,2026-01-02,On-Time
SHP000383,O000383,Standard Shipping,33,2023-09-23,2023-09-30,On-Time
SHP000384,O000384,Express Courier,78,2023-02-14,2023-02-17,On-Time
SHP000385,O000385,Air,111,2023-09-19,2023-09-21,On-Time
SHP000386,O000386,Express Courier,76,2023-05-22,2023-05-24,Delayed
