Order_ID,Order_Date,Product_ID,Supplier_ID,Warehouse_ID,Region_ID,Quantity,Revenue,Fulfillment_Status
O000229,2024-03-02,P009,S007,W003,R005,3,2397,Fulfilled
O000230,2023-11-26,P022,S007,W005,R002,6,474,Delayed
O000231,2024-07-27,P025,S001,W003,R001,1,39,Fulfilled
O000232,2023-11-13,P013,S007,W004,R001,3,417,Fulfilled
O000233,2025-05-12,P019,S010,W005,R004,3,237,Fulfilled
O000234,2025-01-28,P025,S007,W005,R005,3,117,Fulfilled
O000235,2024-09-23,P018,S010,W002,R002,1,39,Delayed
O000236,2025-04-16,P022,S005,W002,R001,4,316,Fulfilled
O000237,2025-06-17,P024,S001,W005,R004,2,198,Fulfilled
O000238,2023-04-09,P017,S007,W005,R001,3,267,Fulfilled
O000239,2025-10-18,P018,S006,W001,R001,3,117,Fulfilled
O000240,2025-02-19,P010,S001,W004,R004,3,687,Fulfilled
O000241,2024-07-17,P022,S006,W005,R002,4,316,Fulfilled
O000242,2025-03-24,P005,S008,W004,R005,3,987,Fulfilled
O000243,2024-06-13,P021,S007,W003,R004,2,118,Fulfilled
O000244,2024-12-20,P025,S001,W001,R001,5,195,Fulfilled
O000245,2025-12-12,P009,S001,W003,R002,3,2397,Fulfilled
O000246,2024-04-06,P023,S006,W003,R001,4,196,Fulfilled
O000247,2024-09-27,P011,S003,W005,R002,1,169,Fulfilled
O000248,2025-10-10,P011,S008,W001,R003,6,1014,Delayed
O000249,2023-01-19,P006,S008,W002,R001,5,5995,Fulfilled
O000250,2025-08-17,P018,S002,W001,R004,2,78,Fulfilled
O000251,2023-09-07,P020,S003,W002,R003,5,595,Fulfilled
O000252,2024-01-06,P004,S008,W001,R005,4,996,Fulfilled
O000253,2024-05-16,P022,S009,W001,R004,4,316,Fulfilled
O000254,2024-12-05,P018,S001,W002,R002,2,78,Fulfilled
O000255,2023-07-13,P017,S006,W004,R004,4,356,Fulfilled
O000256,2025-12-10,P007,S001,W001,R001,1,179,Fulfilled
O000257,2025-06-25,P008,S004,W002,R005,2,498,Fulfilled
O000258,2024-07-07,P009,S008,W003,R003,1,799,Fulfilled
O000259,2023-01-13,P006,S009,W003,R002,4,4796,Fulfilled
O000260,2024-01-03,P009,S007,W005,R003,4,3196,Pending
O000261,2025-01-01,P001,S010,W003,R002,3,2667,Fulfilled
O000262,2024-06-15,P019,S003,W004,R005,5,395,Fulfilled
O000263,2025-03-10,P009,S006,W005,R001,2,1598,Pending
O000264,2023-07-12,P023,S002,W005,R001,3,147,Pending
O000265,2025-06-27,P008,S010,W004,R004,3,747,Fulfilled
O000266,2025-11-14,P020,S009,W002,R001,5,595,Fulfilled
O000267,2025-05-26,P020,S002,W002,R004,6,714,Fulfilled
O000268,2025-03-21,P016,S006,W005,R001,2,598,Fulfilled
O000269,2023-01-07,P018,S007,W001,R001,3,117,Fulfilled
O000270,2025-12-12,P004,S005,W005,R001,9,2241,Fulfilled
O000271,2024-04-28,P024,S007,W002,R004,5,495,Pending
O000272,2024-12-19,P008,S008,W003,R002,1,249,Fulfilled
O000273,2025-08-09,P001,S008,W003,R005,4,3556,Fulfilled
O000274,2025-07-27,P020,S001,W003,R001,3,357,Fulfilled
O000275,2024-06-08,P017,S001,W001,R001,4,356,Fulfilled
O000276,2023-11-20,P003,S008,W001,R005,2,1098,Fulfilled
O000277,2024-05-26,P015,S010,W003,R001,1,349,Fulfilled
O000278,2025-03-16,P002,S009,W003,R003,3,2097,Fulfilled
O000279,2024-10-14,P003,S006,W004,R003,5,2745,Fulfilled
O000280,2023-08-17,P010,S003,W005,R004,5,1145,Fulfilled
O000281,2025-09-09,P022,S003,W002,R001,2,158,Fulfilled
O000282,2024-05-02,P005,S004,W005,R004,6,1974,Fulfilled
O000283,2025-08-26,P024,S006,W005,R005,3,297,Fulfilled
O000284,2025-03-06,P025,S002,W001,R005,2,78,Fulfilled
O000285,2025-10-23,P023,S004,W004,R001,2,98,Fulfilled
O000286,2025-11-06,P008,S001,W001,R004,1,249,Fulfilled
O000287,2024-02-02,P017,S007,W003,R002,4,356,Fulfilled
O000288,2025-12-26,P003,S004,W004,R003,5,2745,Fulfilled
O000289,2025-07-05,P018,S002,W005,R005,1,39,Fulfilled
O000290,2023-07-04,P016,S006,W002,R003,2,598,Fulfilled
O000291,2025-05-08,P013,S005,W005,R002,5,695,Fulfilled
O000292,2025-05-08,P007,S002,W001,R002,2,358,Fulfilled
O000293,2024-05-23,P005,S007,W005,R005,1,329,Fulfilled
O000294,2024-09-22,P008,S006,W002,R002,1,249,Fulfilled
O000295,2023-06-17,P001,S004,W004,R003,1,889,Fulfilled
O000296,2024-03-30,P018,S009,W004,R005,2,78,Fulfilled
O000297,2024-02-11,P013,S003,W002,R003,4,556,Fulfilled
O000298,2024-06-20,P022,S010,W002,R005,2,158,Fulfilled
O000299,2024-11-24,P024,S005,W004,R003,9,891,Fulfilled
O000300,2023-01-26,P016,S003,W001,R002,3,897,Fulfilled
O000301,2023-05-09,P011,S008,W005,R005,4,676,Fulfilled
O000302,2025-07-04,P015,S007,W001,R004,7,2443,Fulfilled
O000303,2023-11-18,P022,S003,W003,R005,10,790,Fulfilled
O000304,2023-05-15,P020,S006,W003,R004,3,357,Delayed
O000305,2023-03-08,P011,S002,W002,R004,1,169,Fulfilled
O000306,2023-12-31,P007,S004,W001,R004,2,358,Pending
O000307,2025-05-29,P005,S009,W004,R001,1,329,Fulfilled
O000308,2024-03-09,P018,S006,W003,R002,2,78,Fulfilled
O000309,2023-01-08,P006,S006,W002,R005,1,1199,Fulfilled
O000310,2025-09-16,P023,S005,W004,R001,2,98,Fulfilled
O000311,2023-04-05,P024,S007,W002,R002,2,198,Fulfilled
O000312,2025-08-07,P016,S009,W005,R004,2,598,Fulfilled
O000313,2025-12-28,P015,S007,W003,R003,1,349,Fulfilled
O000314,2023-11-09,P023,S006,W002,R001,2,98,Fulfilled
O000315,2025-07-05,P016,S003,W002,R004,2,598,Fulfilled
O000316,2023-02-20,P009,S006,W002,R004,7,5593,Fulfilled
O000317,2023-08-22,P012,S008,W005,R004,5,1245,Delayed
O000318,2024-11-21,P012,S007,W005,R004,7,1743,Fulfilled
O000319,2023-10-20,P006,S008,W005,R004,2,2398,Fulfilled
O000320,2025-06-08,P006,S006,W001,R001,3,3597,Fulfilled
O000321,2023-03-29,P019,S002,W003,R004,1,79,Fulfilled
O000322,2023-07-23,P024,S006,W004,R002,6,594,Fulfilled
O000323,2024-07-26,P006,S008,W005,R005,4,4796,Fulfilled
O000324,2025-11-07,P021,S009,W003,R004,7,413,Fulfilled
O000325,2024-03-04,P025,S001,W002,R005,7,273,Fulfilled
O000326,2024-12-01,P005,S002,W001,R001,6,1974,Fulfilled
O000327,2023-01-18,P001,S003,W005,R001,3,2667,Fulfilled
O000328,2023-03-21,P005,S010,W003,R001,2,658,Fulfilled
O000329,2024-03-31,P001,S010,W003,R003,2,1778,Fulfilled
O000330,2025-02-06,P003,S003,W003,R003,2,1098,Fulfilled
O000331,2024-01-07,P013,S010,W004,R001,2,278,Fulfilled
O000332,2023-09-21,P003,S001,W003,R001,6,3294,Fulfilled
O000333,2024-11-21,P025,S006,W004,R002,5,195,Fulfilled
O000334,2025-01-18,P001,S004,W004,R003,3,2667,Fulfilled
O000335,2023-07-20,P002,S003,W005,R002,4,2796,Fulfilled
O000336,2025-11-04,P003,S009,W003,R002,5,2745,Fulfilled
O000337,2023-07-05,P016,S002,W004,R002,4,1196,Pending
O000338,2025-05-27,P022,S006,W001,R004,4,316,Fulfilled
O000339,2025-05-28,P006,S007,W002,R005,3,3597,Fulfilled
O000340,2024-03-23,P009,S009,W002,R002,1,799,Fulfilled
O000341,2023-03-23,P017,S006,W001,R004,6,534,Pending
O000342,2023-08-29,P020,S010,W005,R003,4,476,Fulfilled
O000343,2023-05-02,P023,S002,W005,R001,2,98,Delayed
O000344,2025-08-29,P015,S009,W005,R002,1,349,Fulfilled
O000345,2023-04-24,P007,S007,W001,R005,6,1074,Fulfilled
O000346,2025-05-30,P017,S008,W003,R003,4,356,Fulfilled
O000347,2025-11-05,P007,S002,W003,R004,4,716,Fulfilled
O000348,2023-03-06,P004,S008,W004,R001,1,249,Fulfilled
O000349,2023-06-17,P021,S007,W004,R001,1,59,Fulfilled
O000350,2024-02-18,P016,S006,W003,R001,3,897,Fulfilled
O000351,2025-12-01,P003,S008,W001,R003,6,3294,Fulfilled
O000352,2023-12-07,P009,S004,W001,R003,4,3196,Fulfilled
O000353,2023-05-15,P020,S001,W005,R005,3,357,Fulfilled
O000354,2024-12-14,P020,S010,W002,R002,4,476,Fulfilled
O000355,2024-03-17,P004,S009,W003,R005,3,747,Fulfilled
O000356,2024-06-12,P004,S008,W005,R005,2,498,Pending
O000357,2025-01-07,P008,S001,W005,R005,2,498,Fulfilled
O000358,2025-12-06,P018,S008,W003,R001,1,39,Fulfilled
O000359,2023-10-14,P005,S010,W005,R002,3,987,Fulfilled
O000360,2025-05-14,P023,S008,W002,R002,3,147,Fulfilled
O000361,2024-04-28,P024,S005,W001,R002,1,99,Fulfilled
O000362,2024-07-13,P016,S010,W003,R004,4,1196,Fulfilled
O000363,2024-04-23,P013,S002,W004,R001,5,695,Fulfilled
O000364,2024-03-01,P018,S006,W004,R002,2,78,Fulfilled
O000365,2025-10-08,P014,S010,W001,R003,1,189,Fulfilled
O000366,2025-02-16,P019,S005,W001,R004,3,237,Fulfilled
O000367,2023-03-16,P007,S001,W002,R003,2,358,Fulfilled
O000368,2024-08-01,P009,S004,W004,R002,1,799,Fulfilled
O000369,2025-08-24,P007,S005,W004,R005,6,1074,Fulfilled
O000370,2023-09-11,P025,S009,W005,R005,5,195,Fulfilled
O000371,2023-01-20,P004,S003,W003,R001,1,249,Fulfilled
O000372,2025-08-17,P009,S001,W004,R004,2,1598,Fulfilled
O000373,2023-01-28,P009,S009,W005,R003,4,3196,Fulfilled
O000374,2023-11-10,P009,S001,W002,R004,2,1598,Fulfilled
O000375,2024-01-26,P017,S001,W001,R001,3,267,Fulfilled
O000376,2024-03-03,P021,S003,W005,R002,4,236,Fulfilled
O000377,2024-11-04,P024,S004,W001,R002,3,297,Fulfilled
O000378,2023-11-10,P010,S008,W005,R001,2,458,Fulfilled
O000379,2024-07-12,P004,S010,W002,R005,3,747,Fulfilled
O000380,2025-11-15,P008,S003,W003,R002,1,249,Fulfilled
O000381,2023-08-10,P004,S009,W005,R005,2,498,Fulfilled
O000382,2025-12-31,P001,S010,W005,R005,6,5334,Fulfilled
O000383,2023-09-21,P005,S002,W004,R003,6,1974,Fulfilled
O000384,2023-02-14,P003,S005,W004,R004,6,3294,Fulfilled
O000385,2023-09-19,P010,S003,W004,R004,1,229,Fulfilled
O000386,2023-05-20,P011,S004,W005,R001,2,338,Fulfilled
O000387,2025-06-07,P009,S007,W003,R004,1,799,Fulfilled
O000388,2024-04-14,P019,S006,W004,R002,1,79,Fulfilled
O000389,2025-10-29,P013,S001,W002,R003,4,556,Fulfilled
O000390,2023-08-16,P007,S001,W004,R002,3,537,Fulfilled
O000391,2025-10-19,P006,S002,W003,R001,4,4796,Fulfilled
O000392,2024-12-25,P014,S009,W004,R003,2,378,Fulfilled
O000393,2025-02-05,P024,S002,W004,R004,5,495,Delayed
O000394,2023-11-03,P003,S003,W003,R004,5,2745,Fulfilled
O000395,2023-01-11,P005,S003,W004,R002,6,1974,Fulfilled
O000396,2023-01-07,P003,S010,W005,R005,4,2196,Fulfilled
O000397,2023-02-09,P022,S008,W002,R002,3,237,Fulfilled
O000398,2025-04-22,P025,S003,W002,R004,5,195,Fulfilled
O000399,2025-04-22,P007,S005,W001,R002,3,537,Fulfilled
O000400,2025-01-09,P013,S008,W001,R004,2,278,Fulfilled
O000401,2025-04-01,P003,S010,W001,R004,1,549,Fulfilled
O000402,2025-01-20,P016,S009,W002,R003,6,1794,Fulfilled
O000403,2024-11-11,P018,S010,W001,R001,3,117,Pending
O000404,2023-07-02,P012,S006,W004,R003,5,1245,Fulfilled
O000405,2023-08-02,P007,S008,W003,R005,2,358,Fulfilled
O000406,2024-10-02,P007,S008,W003,R004,4,716,Fulfilled
O000407,2024-01-25,P012,S009,W002,R005,4,996,Fulfilled
